index,brand,id,name,price,size,capacity,processor,storage_type
286,AVITA,10223557,"AVITA Pura 14"" Laptop - AMD Ryzen 5, 256 GB SSD, Red",419,14,256,AMD Ryzen 5,SSD
287,ASUS,10213995,"ASUS Zenbook S Flip UX371EA 13.3"" 2 in 1 Laptop - Intel® Core™ i7, 1 TB SSD, Black",1599,13.3,1024,Intel® Core™ i7,SSD
288,DYNABOOK,10235540,"DYNABOOK Toshiba Satellite Pro C40 14"" Laptop - Intel® Core™ i3, 256 GB SSD, Dark Blue",551,14,256,Intel® Core™ i3,SSD
289,HP,10235999,"HP Pavilion 15-eh1502sa 15.6"" Laptop - AMD Ryzen 3, 256 GB SSD, Blue",499,15.6,256,AMD Ryzen 3,SSD
290,AVITA,10220790,"AVITA Liber V 14"" Laptop - AMD Ryzen 5, 256 GB SSD, Gold & Patterned",559,14,256,AMD Ryzen 5,SSD
291,HONOR,10238290,"HONOR MagicBook 16.1"" Laptop - AMD Ryzen 5, 512 GB SSD, Grey",849.99,16.1,512,AMD Ryzen 5,SSD
292,AVITA,10215490,"AVITA Admiror 14"" Laptop - AMD Ryzen 7, 512 GB SSD, Brown",599,14,512,AMD Ryzen 7,SSD
293,AVITA,10220626,"AVITA Liber V 14"" Laptop - AMD Ryzen 5, 128 GB SSD, Red",539,14,128,AMD Ryzen 5,SSD
294,DYNABOOK,10235542,"DYNABOOK Toshiba Portégé X30W-J-12V 13.3"" 2 in 1 Laptop - Intel® Core™ i5, 256 GB SSD, Blue",1099,13.3,256,Intel® Core™ i5,SSD
295,AVITA,10220624,"AVITA Pura 15.6"" Laptop - AMD Ryzen 5, 256 GB SSD, Silver Grey",499,15.6,256,AMD Ryzen 5,SSD
296,AVITA,10215487,"AVITA Pura 14"" Laptop - AMD Ryzen 5, 256 GB SSD, Silver",499,14,256,AMD Ryzen 5,SSD
297,ASUS,10234435,"ASUS VivoBook Pro N7600PC-L2175W 16"" Laptop - Intel® Core™ i7, 512 GB SSD, Silver",1399,16,512,Intel® Core™ i7,SSD
298,ACER,10234111,"ACER 514 14"" Chromebook -  Intel® Core™ i3, 128 GB SSD, Grey",399,14,128, Intel® Core™ i3,SSD
299,HONOR,10238289,"HONOR MagicBook X14 14"" Laptop - Intel® Core™ i5, 512 GB SSD, Grey",649.99,14,512,Intel® Core™ i5,SSD
300,HONOR,10238288,"HONOR MagicBook 15.6"" Laptop - AMD Ryzen 5, 512 GB SSD, Grey",649.99,15.6,512,AMD Ryzen 5,SSD
